# Title: December 2023 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-37.5,62.5,0.29,154
-37.5,67.5,0.43,161
-37.5,72.5,0.6,164
-37.5,77.5,0.77,170
-37.5,82.5,0.92,170
-37.5,87.5,0.94,168
-37.5,92.5,0.93,169
-37.5,97.5,0.93,173
-37.5,102.5,0.95,173
-37.5,107.5,0.96,173
-37.5,112.5,0.95,173
-37.5,117.5,0.8,173
-37.5,122.5,0.66,174
-37.5,127.5,0.53,173
-37.5,132.5,0.48,171
-37.5,137.5,0.33,166
-37.5,142.5,0.44,159
-37.5,147.5,0.96,171
-37.5,152.5,1.2,173
-37.5,157.5,0.91,173
-37.5,162.5,0.8,172
-37.5,167.5,0.73,163
-37.5,172.5,0.73,160
-37.5,177.5,0.71,163
-37.5,182.5,0.82,164
-37.5,187.5,0.83,165
-37.5,192.5,0.83,168
-37.5,197.5,0.85,167
-37.5,202.5,0.69,164
-37.5,207.5,0.44,158
-37.5,212.5,0.3,152
-37.5,217.5,0.34,153
-37.5,222.5,0.48,157
-37.5,227.5,0.62,159
-37.5,232.5,0.78,163
-37.5,237.5,0.89,164
-37.5,242.5,0.8,158
-37.5,247.5,0.51,148
-37.5,252.5,0.18,136
-37.5,257.5,-0.16,105
-37.5,262.5,-0.63,55
-37.5,267.5,-0.96,28
-37.5,272.5,-1.05,19
-37.5,277.5,-0.95,31
-37.5,282.5,-0.61,50
-37.5,287.5,-0.28,90
-37.5,292.5,0,102
-37.5,297.5,-0.39,107
-37.5,302.5,-0.44,127
-37.5,307.5,-0.36,131
-37.5,312.5,-0.13,139
-37.5,317.5,-0.24,130
-37.5,322.5,-0.34,114
-37.5,327.5,-0.35,104
-37.5,332.5,-0.3,106
-37.5,337.5,-0.27,109
-37.5,342.5,-0.27,112
-37.5,347.5,-0.4,100
-37.5,352.5,-0.3,110
-37.5,357.5,-0.18,124
-32.5,2.5,0.69,168
-32.5,7.5,0.72,171
-32.5,12.5,0.34,159
-32.5,17.5,0.23,164
-32.5,22.5,-0.12,139
-32.5,27.5,-0.27,132
-32.5,32.5,0.1,154
-32.5,37.5,0,134
-32.5,42.5,-0.11,127
-32.5,47.5,-0.25,118
-32.5,52.5,-0.18,121
-32.5,57.5,0.09,140
-32.5,62.5,0.3,146
-32.5,67.5,0.56,153
-32.5,72.5,0.89,168
-32.5,77.5,1.15,172
-32.5,82.5,1.25,173
-32.5,87.5,1.2,173
-32.5,92.5,1.21,173
-32.5,97.5,1.28,173
-32.5,102.5,1.3,174
-32.5,107.5,1.08,173
-32.5,112.5,0.73,169
-32.5,117.5,1.07,169
-32.5,122.5,0.53,156
-32.5,127.5,0.11,150
-32.5,132.5,-0.08,140
-32.5,137.5,-0.5,85
-32.5,142.5,1.07,154
-32.5,147.5,1.56,166
-32.5,152.5,1.33,173
-32.5,157.5,0.77,171
-32.5,162.5,0.66,170
-32.5,167.5,0.69,171
-32.5,172.5,0.75,170
-32.5,177.5,0.82,170
-32.5,182.5,0.85,168
-32.5,187.5,0.68,164
-32.5,192.5,0.52,162
-32.5,197.5,0.33,154
-32.5,202.5,0.04,138
-32.5,207.5,-0.26,114
-32.5,212.5,-0.4,90
-32.5,217.5,-0.4,94
-32.5,222.5,-0.32,98
-32.5,227.5,-0.18,106
-32.5,232.5,0.06,126
-32.5,237.5,0.17,131
-32.5,242.5,0.04,125
-32.5,247.5,-0.2,97
-32.5,252.5,-0.52,59
-32.5,257.5,-0.86,30
-32.5,262.5,-1.12,12
-32.5,267.5,-1.27,9
-32.5,272.5,-1.28,6
-32.5,277.5,-0.99,19
-32.5,282.5,-0.47,53
-32.5,287.5,-0.13,105
-32.5,292.5,0.65,143
-32.5,297.5,-0.05,130
-32.5,302.5,-0.7,105
-32.5,307.5,-0.58,113
-32.5,312.5,-0.1,140
-32.5,317.5,-0.26,123
-32.5,322.5,-0.38,107
-32.5,327.5,-0.31,112
-32.5,332.5,-0.16,129
-32.5,337.5,-0.04,134
-32.5,342.5,-0.04,137
-32.5,347.5,0,139
-32.5,352.5,0.19,152
-32.5,357.5,0.46,164
-27.5,2.5,1.44,173
-27.5,7.5,1.06,173
-27.5,12.5,0.67,165
-27.5,17.5,0.21,158
-27.5,22.5,0.42,151
-27.5,27.5,0.12,146
-27.5,32.5,0.03,149
-27.5,37.5,0.26,153
-27.5,42.5,0.16,145
-27.5,47.5,0.04,147
-27.5,52.5,0.21,152
-27.5,57.5,0.43,158
-27.5,62.5,0.7,159
